호선,역명,요일,비율
4,혜화,목,1.084599686613844
4,혜화,수,1.113118612398308
4,혜화,월,0.955177161622943
4,혜화,일,0.7067150089137869
4,혜화,토,0.956951513312411
4,혜화,화,1.0472571483894653
4,회현(남대문시장),금,1.147685258037212
4,회현(남대문시장),목,1.130590929357588
4,회현(남대문시장),수,1.1386223395712525
4,회현(남대문시장),월,1.0912707333444498
4,회현(남대문시장),일,0.4531118701112953
4,회현(남대문시장),토,0.8887789920970663
4,회현(남대문시장),화,1.1499398774811365
5,강동,금,1.1506967521067528
5,강동,목,1.1382487693457393
5,강동,수,1.1435522150084874
5,강동,월,1.1151348175486289
5,강동,일,0.5241555165554387
5,강동,토,0.7887606990592076
5,강동,화,1.1394512303757454
5,강일,금,1.14762337014959
5,강일,목,1.1314550482690124
5,강일,수,1.145012668893552
5,강일,월,1.1004262022324345
5,강일,일,0.5470236151182121
5,강일,토,0.7887717700773363
5,강일,화,1.1396873252598625
5,개롱,금,1.1678132157536396
5,개롱,목,1.1556943835375244
5,개롱,수,1.1661810338908267
5,개롱,월,1.1242575702693185
5,개롱,일,0.4957605618835953
5,개롱,토,0.741251794760277
5,개롱,화,1.149041439904818
5,개화산,금,1.1520502429096784
5,개화산,목,1.1449574153507935
5,개화산,수,1.1562733239441332
5,개화산,월,1.1266765320023455
5,개화산,일,0.5243623179848597
5,개화산,토,0.7466716567170335
5,개화산,화,1.1490085110911563
5,거여,금,1.1642770249745265
5,거여,목,1.1565002852899264
5,거여,수,1.172262724146497
5,거여,월,1.1260070455300075
5,거여,일,0.4928114504348465
5,거여,토,0.7244086871743005
5,거여,화,1.1637327824498958
5,고덕,금,1.1812006300575952
5,고덕,목,1.1407867593429608
5,고덕,수,1.1629846154130357
5,고덕,월,1.1226422885873673
5,고덕,일,0.4824012811089432
5,고덕,토,0.7582785462602591
5,고덕,화,1.151705879229838
5,공덕,금,1.200433709568529
5,공덕,목,1.2083257766441602
5,공덕,수,1.2255333698828252
5,공덕,월,1.1636276724645225
5,공덕,일,0.3739467077133225
5,공덕,토,0.6119248227815436
5,공덕,화,1.2162079409450977
5,광나루(장신대),금,1.1321186954835414
5,광나루(장신대),목,1.1110405729120687
5,광나루(장신대),수,1.1201409835127678
5,광나루(장신대),월,1.0621572364167573
5,광나루(장신대),일,0.6059059443980902
5,광나루(장신대),토,0.8563271355905021
5,광나루(장신대),화,1.1123094316862725
5,광화문(세종문화회관),금,1.1664952544210734
5,광화문(세종문화회관),목,1.1701878343178025
5,광화문(세종문화회관),수,1.197014532850651
5,광화문(세종문화회관),월,1.1067591652957722
5,광화문(세종문화회관),일,0.4949479700365378
5,광화문(세종문화회관),토,0.698481793355702
5,광화문(세종문화회관),화,1.166113449722462
5,군자(능동),금,1.1505988762843613
5,군자(능동),목,1.1240822400659762
5,군자(능동),수,1.128733131643079
5,군자(능동),월,1.0666657659117749
5,군자(능동),일,0.581403654861342
5,군자(능동),토,0.8387922833744026
5,군자(능동),화,1.1097240478590635
5,굽은다리(강동구민회관앞),금,1.1384852721774277
5,굽은다리(강동구민회관앞),목,1.1102328935528605
5,굽은다리(강동구민회관앞),수,1.1280099665123262
