STATN_NM,호선이름
청계산입구,신분당선
판교,신분당선
정자,신분당선
미금,신분당선
동천,신분당선
수지구청,신분당선
성복,신분당선
상현,신분당선
광교중앙,신분당선
광교,신분당선
판교,경강선
이매,경강선
삼동,경강선
경기광주,경강선
초월,경강선
곤지암,경강선
신둔도예촌,경강선
이천,경강선
부발,경강선
세종왕릉,경강선
여주,경강선
북한산우이,우이신설선
솔밭공원,우이신설선
4.19 민주묘지,우이신설선
가오리,우이신설선
화계,우이신설선
삼양,우이신설선
삼양사거리,우이신설선
솔샘,우이신설선
북한산보국문,우이신설선
정릉,우이신설선
성신여대입구,우이신설선
보문,우이신설선
신설동,우이신설선
대곡,서해선
능곡,서해선
김포공항,서해선
원종,서해선
부천종합운동장,서해선
소사,서해선
소새울,서해선
시흥대야,서해선
신천,서해선
신현,서해선
시흥시청,서해선
시흥능곡,서해선
달미,서해선
선부,서해선
초지,서해선
시우,서해선
원시,서해선
