노선번호,노선명
종로02,종로02(성균관대학교후문~종각)
종로03,종로03(낙산공원~종로5가)
종로05,종로05(서대문역~배화여중고)
종로08,종로08(명륜3가~종로5가)
종로09,종로09(수성동계곡~숭례문)
종로11,종로11(삼청공원~서울역)
종로12,종로12(서울대학교병원~종로3가)
종로13,종로13(평창파출소~부암동주민센터.무계원)
중랑01,중랑01(중화동동아약국~신이문역)
중랑02,중랑02(진로아파트~한신아파트)
