버스정류소명,버스정류소ID
고려대역.고대앞삼거리,6174
고려대학교앞,6175
우신향병원,6176
안암오거리,6177
대광고등학교앞,6178
종암초등학교앞,6179
용두시장앞,6180
용두시장앞,6181
서울시동부병원,6182
서울시동부병원,6183
동아제약앞,6184
동아제약앞,6185
떡전교앞,6186
떡전교앞,6187
서울시립대입구,6188
서울시립대학교앞,6189
서울시동부교육지원청.해성국제컨벤션고교,6190
서울시동부교육지원청.해성국제컨벤션고교,6191
전농우체국앞,6192
전농우체국앞,6193
청솔우성아파트.답십리시장,6194
청솔우성아파트.답십리시장,6195
답십리2동시온교회앞,6196
답십리1동희망샘교회앞,6197
답십리초등학교.현대시장,6198
답십리초등학교앞,6199
답십리역사거리,6200
황물로사거리,6201
동대문어린이집,6202
동대문어린이집,6203
동대문중학교,6204
동대문중학교,6205
전농래미안크레시티아파트,6206
대한노인회동대문구지회,6207
전농사거리,6208
전농사거리,6209
배봉초등학교앞,6210
배봉초등학교앞,6211
장안2동주민센터,6212
장안2동주민센터,6213
장안교앞,6214
장안교은석초등학교,6215
성바오로병원앞,6216
성바오로병원앞,6217
전농시장앞,6218
전농시장앞,6219
동대문구답십리도서관앞,6220
동대문구답십리도서관앞,6221
답십리래미안위브아파트,6222
답십리지구대,6223
답십리종합상가,6224
답십리2동두산아파트,6225
한양아파트.청솔우성아파트후문,6226
답십리2동한양아파트앞,6227
답십리2동한양아파트앞,6228
동답한신.대림아파트동대문체육관,6229
촬영소사거리.동답초등학교,6230
촬영소사거리.세양청마루아파트앞,6231
장안지구대,6232
장안지구대,6233
장안사거리,6234
국민은행장안동지점,6235
국민은행장안동지점,6236
장안동근린공원,6237
장안동근린공원,6238
동대문더퍼스트데시앙아파트,6239
신한은행장안동지점,6240
코리아병원,6241
새서울병원,6242
장안동삼성쉐르빌아파트,6243
장안동삼성쉐르빌아파트,6244
(구)경남호텔앞,6245
현대벤처빌.현대썬앤빌,6246
현대벤처빌,6247
우리은행장안지점앞,6248
우리은행장안지점앞,6249
북한연구소앞,6250
장한평역,6251
장한평역,6252
신이문역,6253
이문동현대아파트앞,6254
이문동현대아파트,6255
휘경2동주민센터,6256
휘경2동주민센터,6257
