STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
1721,송탄,01호선,토요일,상행,40,40,80,60,100,60,60,40,80,60,60,40,80,60,80,60,60,60,40,20
1721,송탄,01호선,토요일,하행,40,80,60,100,60,60,80,40,60,60,80,60,40,80,60,40,80,60,40,0
1721,송탄,01호선,휴일/일요일,상행,40,40,80,60,100,60,60,40,80,60,60,40,80,60,80,60,60,60,40,20
1721,송탄,01호선,휴일/일요일,하행,40,80,60,100,60,60,80,40,60,60,80,60,40,80,60,40,80,60,40,0
1722,서정리,01호선,평일,상행,40,100,80,100,100,100,100,80,100,100,120,100,120,80,100,80,80,80,60,20
1722,서정리,01호선,평일,하행,60,80,100,100,100,120,80,80,120,100,120,80,100,100,100,120,80,40,60,0
1722,서정리,01호선,토요일,상행,40,60,80,100,100,100,100,80,100,100,100,100,100,100,80,80,60,60,40,20
1722,서정리,01호선,토요일,하행,40,80,60,100,120,100,80,80,120,100,120,80,100,100,80,60,80,60,40,0
1722,서정리,01호선,휴일/일요일,상행,40,60,80,100,100,100,100,80,100,100,100,100,100,100,80,80,60,60,40,20
1722,서정리,01호선,휴일/일요일,하행,40,80,60,100,120,100,80,80,120,100,120,80,100,100,80,60,80,60,40,0
1724,평택,01호선,평일,상행,60,80,100,100,100,100,80,100,100,100,120,100,100,100,80,100,80,80,40,20
1724,평택,01호선,평일,하행,40,80,100,120,100,80,100,100,100,100,100,100,100,120,80,120,80,60,60,0
1724,평택,01호선,토요일,상행,40,60,100,100,100,80,100,100,100,100,100,100,100,100,80,80,60,60,40,0
1724,평택,01호선,토요일,하행,40,60,80,100,100,100,80,80,120,100,120,80,100,100,80,80,60,60,60,0
1724,평택,01호선,휴일/일요일,상행,40,60,100,100,100,80,100,100,100,100,100,100,100,100,80,80,60,60,40,0
1724,평택,01호선,휴일/일요일,하행,40,60,80,100,100,100,80,80,120,100,120,80,100,100,80,80,60,60,60,0
1401,봉명,01호선,평일,상행,20,60,40,40,40,60,40,40,40,60,40,40,40,40,40,60,20,60,40,20
1401,봉명,01호선,평일,하행,40,40,40,40,60,40,40,40,80,20,40,40,40,40,60,40,40,40,60,0
1401,봉명,01호선,토요일,상행,20,40,40,20,40,20,40,40,40,40,40,40,40,40,60,20,40,40,40,20
1401,봉명,01호선,토요일,하행,20,40,20,40,20,40,40,40,40,40,40,20,60,40,40,40,40,40,40,0
1401,봉명,01호선,휴일/일요일,상행,20,40,40,20,40,20,40,40,40,40,40,40,40,40,60,20,40,40,40,20
1401,봉명,01호선,휴일/일요일,하행,20,40,20,40,20,40,40,40,40,40,40,20,60,40,40,40,40,40,40,0
1823,도화,01호선,평일,상행,120,120,160,120,120,120,120,120,120,120,140,120,140,140,140,140,120,100,80,0
1823,도화,01호선,평일,하행,60,120,140,120,120,140,100,120,120,140,120,140,140,120,160,120,120,120,120,40
1823,도화,01호선,토요일,상행,100,120,100,100,120,100,120,120,120,120,140,100,120,120,120,120,140,120,60,0
1823,도화,01호선,토요일,하행,40,100,100,100,120,120,100,120,120,140,120,100,140,100,120,140,120,120,120,40
1823,도화,01호선,휴일/일요일,상행,100,120,100,100,120,100,120,120,120,120,140,100,120,120,120,120,140,120,60,0
1823,도화,01호선,휴일/일요일,하행,40,100,100,100,120,120,100,120,120,140,120,100,140,100,120,140,120,120,120,40
1004,노량진,01호선,평일,상행,140,400,460,500,440,340,340,280,320,280,300,400,460,480,440,400,360,300,200,0
1004,노량진,01호선,평일,하행,120,360,460,520,440,320,320,340,300,320,240,320,440,440,480,400,380,280,240,40
1004,노량진,01호선,토요일,상행,120,260,340,360,320,340,360,340,360,340,340,360,380,360,360,380,280,320,200,0
1004,노량진,01호선,토요일,하행,120,260,360,340,340,320,340,380,340,340,340,360,380,360,320,320,300,320,220,40
1004,노량진,01호선,휴일/일요일,상행,120,260,340,360,320,340,360,340,360,340,340,360,380,360,360,380,280,320,200,0
1004,노량진,01호선,휴일/일요일,하행,120,260,360,340,340,320,340,380,340,340,340,360,380,360,320,320,300,320,220,40
1006,영등포,01호선,평일,상행,160,440,520,540,420,360,380,300,340,300,360,420,480,500,460,420,380,300,200,0
1006,영등포,01호선,평일,하행,100,360,440,500,460,340,300,340,300,300,280,320,400,460,460,420,380,280,260,60
1006,영등포,01호선,토요일,상행,140,300,340,380,340,400,360,380,360,360,400,360,380,420,360,380,340,320,200,0
1006,영등포,01호선,토요일,하행,80,280,340,340,320,320,380,360,340,360,320,360,400,340,340,280,340,300,240,60
1006,영등포,01호선,휴일/일요일,상행,140,300,340,380,340,400,360,380,360,360,400,360,380,420,360,380,340,320,200,0
1006,영등포,01호선,휴일/일요일,하행,80,280,340,340,320,320,380,360,340,360,320,360,400,340,340,280,340,300,240,60
1016,외대앞,01호선,평일,상행,60,200,200,260,200,200,200,220,200,200,180,240,220,260,240,260,200,160,160,40
1016,외대앞,01호선,평일,하행,140,160,240,300,180,180,220,220,220,200,200,180,220,260,220,240,200,200,100,0
1016,외대앞,01호선,토요일,상행,60,140,160,200,160,200,240,200,220,200,180,260,200,220,220,180,240,160,200,40
1016,외대앞,01호선,토요일,하행,120,160,180,180,180,200,220,220,220,200,220,240,220,200,180,240,180,220,100,0
1016,외대앞,01호선,휴일/일요일,상행,60,140,160,200,160,200,240,200,220,200,180,260,200,220,220,180,240,160,200,40
1016,외대앞,01호선,휴일/일요일,하행,120,160,180,180,180,200,220,220,220,200,220,240,220,200,180,240,180,220,100,0
1017,신이문,01호선,평일,상행,40,220,200,260,200,200,200,220,200,200,180,240,220,260,240,260,200,140,180,40
1017,신이문,01호선,평일,하행,140,160,260,280,200,160,240,200,220,200,200,200,220,260,220,240,200,180,100,0
1017,신이문,01호선,토요일,상행,60,140,160,200,160,200,220,220,220,200,180,260,200,220,220,180,240,160,200,40
1017,신이문,01호선,토요일,하행,120,160,180,200,160,200,240,200,220,200,240,220,220,220,180,220,200,200,100,0
1017,신이문,01호선,휴일/일요일,상행,60,140,160,200,160,200,220,220,220,200,180,260,200,220,220,180,240,160,200,40
1017,신이문,01호선,휴일/일요일,하행,120,160,180,200,160,200,240,200,220,200,240,220,220,220,180,220,200,200,100,0
1018,석계,01호선,평일,상행,40,200,220,260,200,180,200,240,180,200,200,220,220,260,240,260,200,160,180,40
1018,석계,01호선,평일,하행,160,160,240,280,200,180,220,220,200,220,200,180,220,260,220,240,200,180,100,0
1018,석계,01호선,토요일,상행,60,140,160,180,180,180,240,220,220,180,200,240,200,220,220,200,220,160,220,40
1018,석계,01호선,토요일,하행,120,180,180,180,180,200,220,220,200,220,220,240,200,220,180,220,200,200,100,0
1018,석계,01호선,휴일/일요일,상행,60,140,160,180,180,180,240,220,220,180,200,240,200,220,220,200,220,160,220,40
1018,석계,01호선,휴일/일요일,하행,120,180,180,180,180,200,220,220,200,220,220,240,200,220,180,220,200,200,100,0
1019,광운대,01호선,평일,상행,40,200,220,240,200,200,200,220,200,200,180,240,220,260,240,240,220,160,160,60
1019,광운대,01호선,평일,하행,80,100,160,200,160,160,120,120,140,100,140,120,140,140,120,160,120,140,140,60
1019,광운대,01호선,토요일,상행,40,140,180,180,180,180,220,220,220,200,180,240,220,220,220,200,200,180,220,40
1019,광운대,01호선,토요일,하행,40,80,120,120,120,100,120,120,120,100,140,120,140,100,120,120,100,160,120,60
1019,광운대,01호선,휴일/일요일,상행,40,140,180,180,180,180,220,220,220,200,180,240,220,220,220,200,200,180,220,40
1019,광운대,01호선,휴일/일요일,하행,40,80,120,120,120,100,120,120,120,100,140,120,140,100,120,120,100,160,120,60
