,USE_MON,LINE_NUM,SUB_STA_NM,FOUR_RIDE_NUM,FOUR_ALIGHT_NUM,FIVE_RIDE_NUM,FIVE_ALIGHT_NUM,SIX_RIDE_NUM,SIX_ALIGHT_NUM,SEVEN_RIDE_NUM,SEVEN_ALIGHT_NUM,EIGHT_RIDE_NUM,EIGHT_ALIGHT_NUM,NINE_RIDE_NUM,NINE_ALIGHT_NUM,TEN_RIDE_NUM,TEN_ALIGHT_NUM,ELEVEN_RIDE_NUM,ELEVEN_ALIGHT_NUM,TWELVE_RIDE_NUM,TWELVE_ALIGHT_NUM,THIRTEEN_RIDE_NUM,THIRTEEN_ALIGHT_NUM,FOURTEEN_RIDE_NUM,FOURTEEN_ALIGHT_NUM,FIFTEEN_RIDE_NUM,FIFTEEN_ALIGHT_NUM,SIXTEEN_RIDE_NUM,SIXTEEN_ALIGHT_NUM,SEVENTEEN_RIDE_NUM,SEVENTEEN_ALIGHT_NUM,EIGHTEEN_RIDE_NUM,EIGHTEEN_ALIGHT_NUM,NINETEEN_RIDE_NUM,NINETEEN_ALIGHT_NUM,TWENTY_RIDE_NUM,TWENTY_ALIGHT_NUM,TWENTY_ONE_RIDE_NUM,TWENTY_ONE_ALIGHT_NUM,TWENTY_TWO_RIDE_NUM,TWENTY_TWO_ALIGHT_NUM,TWENTY_THREE_RIDE_NUM,TWENTY_THREE_ALIGHT_NUM,MIDNIGHT_RIDE_NUM,MIDNIGHT_ALIGHT_NUM,ONE_RIDE_NUM,ONE_ALIGHT_NUM,TWO_RIDE_NUM,TWO_ALIGHT_NUM,THREE_RIDE_NUM,THREE_ALIGHT_NUM
30,202307,2호선,선릉,147.0,4.0,4987.0,6431.0,11730.0,45314.0,21383.0,126156.0,32954.0,283794.0,34057.0,227245.0,37180.0,107491.0,49021.0,66713.0,58861.0,64194.0,66717.0,69076.0,75313.0,55809.0,97428.0,49273.0,125060.0,48545.0,207965.0,54973.0,300713.0,59953.0,150314.0,36872.0,95246.0,23045.0,92475.0,21277.0,80317.0,18708.0,27789.0,11432.0,4146.0,4459.0,2.0,122.0,0.0,0.0,0.0,0.0
31,202307,2호선,역삼,28.0,1.0,3652.0,7309.0,9254.0,42442.0,16046.0,154474.0,26887.0,373514.0,25046.0,310177.0,26032.0,131533.0,35216.0,68525.0,42330.0,61530.0,49992.0,66434.0,59291.0,51740.0,80322.0,44951.0,102188.0,43695.0,225765.0,52668.0,290405.0,61286.0,154761.0,38140.0,89914.0,23828.0,84452.0,20302.0,56308.0,17656.0,21395.0,10808.0,3433.0,3254.0,1.0,29.0,0.0,0.0,0.0,0.0
32,202307,2호선,강남,120.0,14.0,9359.0,10930.0,18503.0,56268.0,40112.0,158200.0,64256.0,310621.0,52713.0,323007.0,54625.0,160385.0,73811.0,113515.0,93277.0,111546.0,111887.0,126205.0,121665.0,109743.0,146216.0,104917.0,175892.0,112652.0,261680.0,140772.0,327480.0,184929.0,215011.0,108728.0,172551.0,60848.0,196756.0,49365.0,177694.0,42415.0,80992.0,25952.0,13773.0,6609.0,3.0,47.0,0.0,0.0,0.0,0.0
33,202307,2호선,교대(법원.검찰청),15.0,0.0,2693.0,6957.0,11535.0,25054.0,25250.0,59800.0,36820.0,156113.0,27461.0,138552.0,26698.0,66745.0,31267.0,57563.0,33997.0,51814.0,40987.0,54743.0,48930.0,48524.0,52260.0,45204.0,56820.0,47743.0,95521.0,61887.0,133358.0,73149.0,62654.0,42536.0,51239.0,25671.0,53658.0,23822.0,42819.0,22626.0,15754.0,12295.0,3171.0,3275.0,2.0,15.0,0.0,0.0,0.0,0.0
34,202307,2호선,서초,4.0,0.0,1898.0,4753.0,9556.0,22596.0,18820.0,52910.0,28827.0,113613.0,29143.0,91020.0,22400.0,42368.0,30338.0,34243.0,26747.0,25211.0,34232.0,26285.0,33470.0,24345.0,41143.0,20197.0,45623.0,22661.0,73051.0,25732.0,96046.0,27052.0,45310.0,18919.0,31907.0,11879.0,29314.0,11603.0,20173.0,11156.0,6408.0,6089.0,877.0,1497.0,2.0,13.0,0.0,0.0,0.0,0.0
35,202307,2호선,방배,2.0,0.0,2665.0,2754.0,9379.0,12787.0,22737.0,27157.0,30796.0,68148.0,24650.0,43179.0,18395.0,23145.0,20090.0,18905.0,21482.0,20569.0,22997.0,21398.0,23136.0,20445.0,24647.0,21044.0,30167.0,22683.0,41712.0,28931.0,59657.0,36424.0,25636.0,25783.0,20383.0,17623.0,19971.0,15980.0,15590.0,16806.0,6399.0,9326.0,1123.0,2606.0,5.0,38.0,0.0,0.0,0.0,0.0
36,202307,2호선,사당,80.0,6.0,12937.0,4543.0,29062.0,33122.0,78198.0,44686.0,100656.0,66283.0,76024.0,47827.0,47851.0,42359.0,43827.0,52561.0,49813.0,52156.0,50902.0,51100.0,54639.0,50632.0,57852.0,60637.0,61952.0,79757.0,76776.0,118895.0,95204.0,171411.0,63294.0,117306.0,60421.0,71765.0,67986.0,66105.0,63728.0,64899.0,35213.0,39352.0,5837.0,11024.0,16.0,743.0,0.0,0.0,0.0,0.0
37,202307,2호선,낙성대(강감찬),34.0,1.0,11599.0,2452.0,27474.0,10329.0,85450.0,19280.0,128117.0,40447.0,82325.0,32288.0,45108.0,25720.0,38931.0,24203.0,41505.0,26005.0,40267.0,28613.0,34683.0,29857.0,35614.0,35623.0,40119.0,42199.0,45260.0,59319.0,50880.0,101728.0,28645.0,86284.0,22609.0,57618.0,21241.0,54084.0,16050.0,54584.0,8260.0,34073.0,1355.0,9300.0,0.0,309.0,0.0,0.0,0.0,0.0
38,202307,2호선,서울대입구(관악구청),4939.0,24.0,28307.0,2753.0,44564.0,14902.0,130432.0,28181.0,174419.0,66748.0,119622.0,59966.0,70229.0,48361.0,61030.0,46956.0,66796.0,50945.0,70128.0,55095.0,60237.0,57504.0,63530.0,63860.0,71364.0,75743.0,81314.0,105179.0,88645.0,174864.0,52653.0,143145.0,45652.0,88989.0,46823.0,83674.0,41750.0,82665.0,21507.0,50995.0,3663.0,19415.0,0.0,2926.0,0.0,0.0,0.0,0.0
39,202307,2호선,봉천,63.0,1.0,15531.0,1747.0,30091.0,6659.0,83374.0,12215.0,120994.0,25699.0,74070.0,21957.0,41632.0,19433.0,33645.0,21110.0,35266.0,23418.0,34650.0,25668.0,29732.0,27558.0,28998.0,34887.0,30753.0,41707.0,31628.0,55125.0,33231.0,87618.0,20476.0,74445.0,17527.0,46426.0,14867.0,43343.0,11266.0,41521.0,4802.0,24459.0,904.0,8015.0,1.0,283.0,0.0,0.0,0.0,0.0
40,202307,2호선,신림,213.0,7.0,38562.0,4241.0,71198.0,18015.0,189377.0,27062.0,271328.0,44173.0,162679.0,43933.0,90563.0,42143.0,75294.0,45200.0,80791.0,51021.0,75352.0,56961.0,68425.0,62604.0,66842.0,77629.0,72667.0,95520.0,76586.0,128310.0,78696.0,218566.0,53488.0,192340.0,45740.0,123032.0,44056.0,117587.0,37558.0,110721.0,21769.0,73264.0,4409.0,21070.0,8.0,617.0,0.0,0.0,0.0,0.0
41,202307,2호선,신대방,232.0,0.0,24084.0,2199.0,35873.0,9922.0,91049.0,16492.0,132198.0,25373.0,81180.0,19869.0,45435.0,18688.0,36523.0,19655.0,36143.0,22248.0,34593.0,25125.0,29794.0,27799.0,29166.0,38292.0,31887.0,44605.0,34584.0,61212.0,33361.0,92358.0,21000.0,81865.0,17194.0,56335.0,13128.0,59245.0,10524.0,55022.0,5081.0,32317.0,967.0,8717.0,1.0,178.0,0.0,0.0,0.0,0.0
42,202307,2호선,구로디지털단지,369.0,39.0,38505.0,5472.0,53882.0,20639.0,144838.0,85469.0,184498.0,228086.0,112257.0,144248.0,68187.0,60868.0,60319.0,44375.0,66861.0,47122.0,65737.0,57170.0,59937.0,55567.0,64221.0,63461.0,78928.0,76826.0,134455.0,105328.0,210532.0,162156.0,101581.0,131967.0,65184.0,86469.0,55202.0,85494.0,41572.0,82754.0,18845.0,49546.0,3463.0,14233.0,6.0,308.0,0.0,0.0,0.0,0.0
